Combinacio,Iteracio,Cost,Temps_ms
A:_Op1+Op2_(exhaustiu),0,2786.03,788.0
A:_Op1+Op2_(exhaustiu),1,2703.36,509.0
A:_Op1+Op2_(exhaustiu),2,2862.13,460.0
B:_Op3+Op4_(intel·ligent,_K=3),0,3190.36,20.0
B:_Op3+Op4_(intel·ligent,_K=3),1,2936.82,11.0
B:_Op3+Op4_(intel·ligent,_K=3),2,3222.78,16.0
C:_Op1_sol,0,3174.19,11.0
C:_Op1_sol,1,2976.38,9.0
C:_Op1_sol,2,3215.61,16.0
D:_Op3_sol_(K=3),0,3141.28,9.0
D:_Op3_sol_(K=3),1,2936.82,6.0
D:_Op3_sol_(K=3),2,3222.78,9.0
E:_Op1+Op2+Op3+Op4_(tots,_K=3),0,2786.03,655.0
E:_Op1+Op2+Op3+Op4_(tots,_K=3),1,2703.36,567.0
E:_Op1+Op2+Op3+Op4_(tots,_K=3),2,2862.13,479.0
