k,lambda,Iteracio,CostMitja_minuts,TempsCPU_ms
1,0.1000,0,2893.50,30
1,0.1000,1,2794.20,24
1,0.1000,2,2904.07,27
1,0.0100,0,2855.18,26
1,0.0100,1,2750.82,26
1,0.0100,2,2862.10,28
1,0.0010,0,2858.29,26
1,0.0010,1,2751.50,24
1,0.0010,2,2905.73,27
1,0.0001,0,2860.28,24
1,0.0001,1,2774.29,23
1,0.0001,2,2901.34,25
5,0.1000,0,2904.98,21
5,0.1000,1,2780.89,17
5,0.1000,2,2957.03,18
5,0.0100,0,2887.45,23
5,0.0100,1,2792.29,22
5,0.0100,2,2913.00,23
5,0.0010,0,2878.60,23
5,0.0010,1,2824.58,23
5,0.0010,2,2889.74,25
5,0.0001,0,2884.51,24
5,0.0001,1,2808.52,23
5,0.0001,2,2951.80,24
25,0.1000,0,2952.75,18
25,0.1000,1,2869.14,18
25,0.1000,2,2978.57,19
25,0.0100,0,2888.20,23
25,0.0100,1,2832.14,25
25,0.0100,2,3024.98,22
25,0.0010,0,2955.71,22
25,0.0010,1,2887.69,22
25,0.0010,2,2985.63,22
25,0.0001,0,3434.85,24
25,0.0001,1,3066.41,24
25,0.0001,2,3368.80,24
125,0.1000,0,3023.69,18
125,0.1000,1,2845.78,17
125,0.1000,2,2965.47,18
125,0.0100,0,2989.46,25
125,0.0100,1,2885.93,23
125,0.0100,2,2971.81,25
125,0.0010,0,2985.62,24
125,0.0010,1,2935.38,22
125,0.0010,2,3031.32,25
125,0.0001,0,3467.45,25
125,0.0001,1,3159.52,24
125,0.0001,2,3376.19,25
