Centres,Grups,Algorisme,Iteracio,Cost,TempsCPU_ms
5,100,HillClimbing,0,2786.03,599
5,100,SimulatedAnnealing,0,2899.09,24
5,100,HillClimbing,1,2703.36,508
5,100,SimulatedAnnealing,1,2736.16,25
5,100,HillClimbing,2,2862.13,446
5,100,SimulatedAnnealing,2,2939.44,24
10,200,HillClimbing,0,4726.48,9865
10,200,SimulatedAnnealing,0,4872.58,58
10,200,HillClimbing,1,4192.35,9754
10,200,SimulatedAnnealing,1,4390.48,47
10,200,HillClimbing,2,4896.35,11248
10,200,SimulatedAnnealing,2,5044.00,55
15,300,HillClimbing,0,6353.09,72583
15,300,SimulatedAnnealing,0,6644.70,108
15,300,HillClimbing,1,6284.63,76663
15,300,SimulatedAnnealing,1,6592.88,87
15,300,HillClimbing,2,6619.83,71596
15,300,SimulatedAnnealing,2,7007.02,131
20,400,HillClimbing,0,8235.11,954225
20,400,SimulatedAnnealing,0,8775.77,126
20,400,HillClimbing,1,8009.68,1364448
20,400,SimulatedAnnealing,1,8530.84,206
20,400,HillClimbing,2,8371.05,914853
20,400,SimulatedAnnealing,2,8828.18,199
