Centres,Grups,Iteracio,Cost,Temps_ms
5,100,0,3174.19,21
5,100,1,2976.38,15
5,100,2,3215.61,25
10,100,0,2455.97,31
10,100,1,2423.94,30
10,100,2,2710.71,32
15,100,0,2351.01,34
15,100,1,2366.19,31
15,100,2,2530.99,35
20,100,0,2279.27,33
20,100,1,2260.53,23
20,100,2,2448.41,20
25,100,0,2263.76,35
25,100,1,2231.85,33
25,100,2,2358.59,33
30,100,0,2275.54,34
30,100,1,2218.44,27
30,100,2,2340.60,28
35,100,0,2221.94,40
35,100,1,2175.82,33
35,100,2,2327.63,34
40,100,0,2210.54,66
40,100,1,2156.38,45
40,100,2,2307.35,42
45,100,0,2206.80,65
45,100,1,2173.47,48
45,100,2,2304.85,55
50,100,0,2189.80,83
50,100,1,2155.62,64
50,100,2,2294.11,71
55,100,0,2224.40,74
55,100,1,2147.19,58
55,100,2,2296.76,60
60,100,0,2223.48,80
60,100,1,2141.58,54
60,100,2,2296.36,63
65,100,0,2228.67,67
65,100,1,2148.66,70
65,100,2,2294.99,72
70,100,0,2223.96,72
70,100,1,2140.67,86
70,100,2,2323.44,64
75,100,0,2227.10,84
75,100,1,2136.12,92
75,100,2,2329.71,69
80,100,0,2225.58,96
80,100,1,2130.28,104
80,100,2,2318.17,71
85,100,0,2217.48,78
85,100,1,2114.21,120
85,100,2,2322.84,80
90,100,0,2209.16,98
90,100,1,2115.28,140
90,100,2,2329.80,98
95,100,0,2209.16,99
95,100,1,2132.22,129
95,100,2,2328.78,101
100,100,0,2194.66,118
100,100,1,2126.29,138
100,100,2,2300.54,104
105,100,0,2194.66,124
105,100,1,2129.30,138
105,100,2,2303.02,117
110,100,0,2217.72,135
110,100,1,2127.29,134
110,100,2,2321.05,123
115,100,0,2217.23,143
115,100,1,2135.39,149
115,100,2,2303.95,158
120,100,0,2215.70,152
120,100,1,2150.58,157
120,100,2,2279.25,128
125,100,0,2221.25,171
125,100,1,2150.58,170
125,100,2,2296.37,120
130,100,0,2223.10,178
130,100,1,2150.45,179
130,100,2,2296.26,125
135,100,0,2222.78,171
135,100,1,2152.81,163
135,100,2,2295.11,123
140,100,0,2222.78,166
140,100,1,2158.51,170
140,100,2,2294.36,133
145,100,0,2226.20,188
145,100,1,2158.51,175
145,100,2,2294.17,144
150,100,0,2225.92,199
150,100,1,2157.50,187
150,100,2,2297.52,151
