Centres,Grups,Iteracio,Cost,Temps_ms
5,100,0,3174.19,32
5,100,1,2976.38,20
5,100,2,3215.61,40
5,150,0,4891.42,62
5,150,1,4412.59,49
5,150,2,4649.17,78
5,200,0,6436.30,144
5,200,1,5765.09,117
5,200,2,6182.28,139
5,250,0,7920.58,411
5,250,1,7295.25,183
5,250,2,7636.09,328
5,300,0,9393.01,570
5,300,1,8903.28,352
5,300,2,9181.23,530
5,350,0,10983.45,663
5,350,1,10304.66,738
5,350,2,10500.41,872
5,400,0,12412.86,1339
5,400,1,11571.08,1346
5,400,2,11831.11,1112
5,450,0,14117.93,1428
5,450,1,13189.87,1733
5,450,2,13247.60,1526
5,500,0,15519.98,1585
5,500,1,14542.98,1748
5,500,2,14951.81,1362
5,550,0,17029.42,2227
5,550,1,16111.46,2159
5,550,2,16286.28,2099
5,600,0,18660.84,2832
5,600,1,17770.64,2521
5,600,2,17509.43,2641
5,650,0,20073.74,3840
5,650,1,19269.28,3376
5,650,2,19025.61,3491
5,700,0,21660.79,4779
5,700,1,20733.51,3909
5,700,2,20477.24,4186
5,750,0,23179.03,5860
5,750,1,22216.39,5553
5,750,2,21925.97,4997
5,800,0,24731.72,6942
5,800,1,23685.51,8133
5,800,2,23443.87,6879
