PesAlpha,Algorisme,Iteracio,CostTotal_H2
0.0,HillClimbing,0,3174.19
0.0,HillClimbing,1,2976.38
0.0,HillClimbing,2,3215.61
0.5,HillClimbing,0,3592.76
0.5,HillClimbing,1,3333.49
0.5,HillClimbing,2,3418.75
1.0,HillClimbing,0,4043.30
1.0,HillClimbing,1,3619.42
1.0,HillClimbing,2,3830.38
2.0,HillClimbing,0,4300.07
2.0,HillClimbing,1,4337.90
2.0,HillClimbing,2,4459.95
4.0,HillClimbing,0,6423.69
4.0,HillClimbing,1,5294.38
4.0,HillClimbing,2,5426.33
8.0,HillClimbing,0,7107.81
8.0,HillClimbing,1,7224.75
8.0,HillClimbing,2,8029.36
16.0,HillClimbing,0,11989.84
16.0,HillClimbing,1,10260.73
16.0,HillClimbing,2,11235.20
32.0,HillClimbing,0,26930.96
32.0,HillClimbing,1,17443.53
32.0,HillClimbing,2,19332.40
0.0,SimulatedAnnealing,0,2901.74
0.0,SimulatedAnnealing,1,2753.59
0.0,SimulatedAnnealing,2,2911.99
0.5,SimulatedAnnealing,0,3227.04
0.5,SimulatedAnnealing,1,3181.87
0.5,SimulatedAnnealing,2,3311.90
1.0,SimulatedAnnealing,0,3463.20
1.0,SimulatedAnnealing,1,3422.89
1.0,SimulatedAnnealing,2,3493.26
2.0,SimulatedAnnealing,0,3895.33
2.0,SimulatedAnnealing,1,3928.33
2.0,SimulatedAnnealing,2,4014.29
4.0,SimulatedAnnealing,0,4773.87
4.0,SimulatedAnnealing,1,4715.15
4.0,SimulatedAnnealing,2,4902.44
8.0,SimulatedAnnealing,0,6437.24
8.0,SimulatedAnnealing,1,6222.13
8.0,SimulatedAnnealing,2,6636.60
16.0,SimulatedAnnealing,0,9995.54
16.0,SimulatedAnnealing,1,9013.36
16.0,SimulatedAnnealing,2,9950.54
32.0,SimulatedAnnealing,0,15481.63
32.0,SimulatedAnnealing,1,14685.67
32.0,SimulatedAnnealing,2,16654.51
