All overheads expressed in microseconds
Nthr	Overhead	Overhead per thread
2	1.6555		0.8277
3	1.4143		0.4714
4	1.6597		0.4149
5	1.6651		0.3330
6	1.7698		0.2950
7	1.8090		0.2584
8	2.1593		0.2699
9	2.2967		0.2552
10	2.4266		0.2427
11	2.3704		0.2155
12	2.6288		0.2191
13	2.6271		0.2021
14	2.7081		0.1934
15	2.6961		0.1797
16	2.8991		0.1812
17	2.9023		0.1707
18	3.1443		0.1747
19	3.1207		0.1642
20	3.0984		0.1549
21	3.2150		0.1531
22	3.3287		0.1513
23	3.3536		0.1458
24	3.5353		0.1473
25	3.6373		0.1455
26	3.7422		0.1439
27	3.7197		0.1378
28	3.8768		0.1385
29	4.0978		0.1413
30	4.1916		0.1397
31	4.1891		0.1351
32	4.2837		0.1339
