All overheads expressed in microseconds
Ntasks	Overhead	Overhead per task
2	0.2136		0.1068
4	0.4223		0.1056
6	0.6512		0.1085
8	0.8712		0.1089
10	1.0908		0.1091
12	1.3103		0.1092
14	1.5244		0.1089
16	1.7401		0.1088
18	1.9531		0.1085
20	2.1669		0.1083
22	2.3798		0.1082
24	2.5914		0.1080
26	2.8231		0.1086
28	3.0397		0.1086
30	3.2543		0.1085
32	3.4573		0.1080
34	3.6768		0.1081
36	3.8837		0.1079
38	4.1037		0.1080
40	4.3197		0.1080
42	4.5249		0.1077
44	4.7570		0.1081
46	4.9799		0.1083
48	5.1900		0.1081
50	5.3992		0.1080
52	5.6187		0.1081
54	5.8442		0.1082
56	6.0391		0.1078
58	6.2564		0.1079
60	6.4736		0.1079
62	6.6814		0.1078
64	6.8908		0.1077
